Id,SalePrice
1461,119022.97081029609
1462,160079.50382959444
1463,188525.13871594434
1464,186154.66914208184
1465,155433.38346482394
1466,190990.42707276132
1467,146615.23665005548
1468,172974.8583114064
1469,161217.32922504842
1470,117695.50784893309
1471,160838.05409323043
1472,127651.48005915555
1473,137607.452269378
1474,172121.4892648159
1475,113333.8438330261
1476,255372.3806988666
1477,180465.54216481186
1478,195067.6347398048
1479,206825.16382616275
1480,289696.7801283954
1481,247407.60293068862
1482,163967.07393072892
1483,159605.40991482194
1484,142632.8477659665
1485,164346.3490625469
1486,198386.29214321228
1487,268741.82909545104
1488,185301.30009549134
1489,149554.618921645
1490,173259.31466026988
1491,191369.7022045793
1492,130021.94963301804
1493,175724.60301708686
1494,256794.6624431841
1495,245037.13335682612
1496,175155.69031935988
1497,193360.89664662382
1498,147847.880828464
1499,147847.880828464
1500,151261.35701482598
1501,177431.34111026788
1502,136469.62687392402
1503,168518.3755125449
1504,209290.45218297976
1505,175534.96545117788
1506,207488.89530684426
1507,270638.20475454105
1508,213367.65985002325
1509,190042.23924321632
1510,150882.08188300795
1511,148701.24987505446
1512,177241.70354435887
1513,202368.68102730127
1514,197912.19822843978
1515,267414.366134088
1516,181603.36756026585
1517,141020.92845574
1518,186154.66914208184
1519,174397.14005572387
1520,142443.21020005748
1521,148416.79352619097
1522,183879.01835117384
1523,160838.05409323043
1524,134952.526346652
1525,126229.19831483805
1526,127746.29884211005
1527,127461.84249324656
1528,150123.53161937196
1529,145477.4112546015
1530,166337.54350459142
1531,208911.17705116177
1532,122815.72212847607
1533,161786.24192277543
1534,152683.63875914348
1535,188904.41384776233
1536,152114.72606141644
1537,112954.5687012081
1538,182551.55538981085
1539,249114.3410238696
1540,247976.51562841563
1541,173448.9522261789
1542,186913.21940571783
1543,230150.58443296968
1544,106601.71024325663
1545,141400.203587558
1546,147468.60569664597
1547,171837.03291595238
1548,168328.7379466359
1549,132676.87555574405
1550,179706.99190117588
1551,135331.80147847004
1552,220099.7934397927
1553,181982.64269208384
1554,159605.40991482194
1555,192886.80273185132
1556,150123.53161937196
1557,166053.0871557279
1558,121203.80281824958
1559,212703.92836934174
1560,193360.89664662382
1561,207773.35165570775
1562,118643.69567847808
1563,115988.76975575209
1564,164251.53027959244
1565,170604.3887375439
1566,174681.59640458738
1567,105748.34119666614
1568,221901.3503159282
1569,186723.58183980884
1570,135900.714176197
1571,179232.89798640338
1572,145192.954905738
1573,177052.06597844986
1574,157140.12155800493
1575,169940.6572568624
1576,204928.78816707278
1577,149933.89405346295
1578,171078.4826523164
1579,125565.46683415656
1580,194498.7220420778
1581,131349.41259438102
1582,117126.59515120609
1583,221616.8939670647
1584,232995.14792160466
1585,114471.6692284801
1586,94749.36237394417
1587,128125.57397392805
1588,147468.60569664597
1589,140262.378192104
1590,137986.72740119603
1591,125091.37291938406
1592,156950.48399209595
1593,115230.2194921161
1594,285335.11611248844
1595,192033.43368526082
1596,236313.80532501216
1597,240485.83177501013
1598,190705.97072389783
1599,132107.96285801704
1600,146994.51178187347
1601,85267.4840784942
1602,139029.7340136955
1603,124332.82265574807
1604,190137.05802617082
